Model,Year of Production,Number of Engines,Engine Type,Capacity,Range in km,Fuel consumption in (L/hour),Maintenance cost per hour,Age,Sales Region,Price in USD
Boeing 777,2022,2,Turbofan,396,15600,13.75,2630.42,3,Europe,770488823.1
Cessna 172,2006,1,Piston,4,1285,31.74,1639.34,19,Europe,305999.99
Bombardier CRJ200,2016,2,Turbofan,50,3000,8.91,854.29,9,South America,18888534.76
Boeing 777,1995,2,Turbofan,396,15600,10.61,4061.14,30,Europe,337120915.43
Airbus A350,2011,2,Turbofan,350,14800,5.91,1333.95,14,South America,613072004.18
Airbus A320,1999,2,Turbofan,180,6300,4.44,2067.07,26,Asia,83146554.45
Boeing 777,2010,2,Turbofan,396,15600,9.91,2037.46,15,Asia,668451238.34
Airbus A320,2021,2,Turbofan,180,6300,6.61,3829.25,4,Africa,139453333.29
Bombardier CRJ200,2006,2,Turbofan,50,3000,6.63,3186.91,19,Europe,15848284.51
Bombardier CRJ200,2020,2,Turbofan,50,3000,7.49,2450.86,5,South America,25086459.81
Airbus A320,2000,2,Turbofan,180,6300,2.22,2399.48,25,North America,100879145.85
Airbus A320,2022,2,Turbofan,180,6300,13.43,3294.33,3,North America,147855110.02
Airbus A350,2015,2,Turbofan,350,14800,5.07,2926.7,10,North America,595126997.94
Cessna 172,2007,1,Piston,4,1285,26.09,655.47,18,Europe,261517.77
Bombardier CRJ200,2016,2,Turbofan,50,3000,5.1,4789.28,9,Asia,18898687.47
Bombardier CRJ200,2014,2,Turbofan,50,3000,4.86,1082.69,11,Europe,21548958.52
Boeing 777,2016,2,Turbofan,396,15600,5.57,3863.04,9,Africa,685958587.54
Cessna 172,2020,1,Piston,4,1285,44.35,1364.04,5,Europe,416539.37
Cessna 172,2018,1,Piston,4,1285,21.55,1937.64,7,South America,428048.05
Boeing 737,2002,2,Turbofan,162,5700,12.75,638.75,23,Europe,64661416.36
Bombardier CRJ200,2012,2,Turbofan,50,3000,11.16,3109.52,13,Asia,17388123.9
Boeing 737,2005,2,Turbofan,162,5700,6.52,4158.03,20,South America,79991347.89
Airbus A320,2010,2,Turbofan,180,6300,8.52,1781.38,15,Europe,108382101.42
Boeing 737,1997,2,Turbofan,162,5700,11.3,3999.15,28,South America,51452424.85
Cessna 172,2007,1,Piston,4,1285,25.34,2929.3,18,Africa,249245.5
Airbus A320,2004,2,Turbofan,180,6300,14.58,1064.37,21,Australia,90210781.81
Boeing 777,2016,2,Turbofan,396,15600,11.25,691.46,9,Europe,751511991.72
Boeing 777,2005,2,Turbofan,396,15600,5.36,4618.11,20,Europe,499734746.44
Cessna 172,1999,1,Piston,4,1285,12.43,3746.89,26,Africa,211057.9
Bombardier CRJ200,1997,2,Turbofan,50,3000,2.48,4799.7,28,Europe,11614639.48
Bombardier CRJ200,2017,2,Turbofan,50,3000,9.72,4456.39,8,Australia,20860611.44
Airbus A320,2004,2,Turbofan,180,6300,3.71,2907.36,21,Australia,72799546.9
Boeing 777,2002,2,Turbofan,396,15600,12.04,1920.88,23,Africa,448670846.31
Boeing 737,2009,2,Turbofan,162,5700,3.84,3202.28,16,Europe,100259637.74
Bombardier CRJ200,2017,2,Turbofan,50,3000,10.3,1026.77,8,South America,21582862.31
Bombardier CRJ200,1999,2,Turbofan,50,3000,9.95,1481.95,26,Asia,11383892.51
Airbus A320,2005,2,Turbofan,180,6300,3.51,1465.45,20,South America,111465040.17
Boeing 777,2012,2,Turbofan,396,15600,12.64,3583.05,13,Australia,628911884.09
Boeing 737,2022,2,Turbofan,162,5700,13.52,1698.51,3,Asia,137079196.7
Airbus A320,2021,2,Turbofan,180,6300,5.48,2620.29,4,Africa,145094147.32
Bombardier CRJ200,2004,2,Turbofan,50,3000,9.38,1671.16,21,Australia,13647736.24
Boeing 777,2016,2,Turbofan,396,15600,2.04,1549.86,9,Africa,599686542.12
Boeing 737,2019,2,Turbofan,162,5700,9.68,3616.48,6,Africa,114317323.08
Airbus A350,2023,2,Turbofan,350,14800,3.39,4608.81,2,Asia,784212504.88
Airbus A350,2023,2,Turbofan,350,14800,9.53,3847.64,2,South America,696041757.35
Airbus A320,2018,2,Turbofan,180,6300,9.85,2755.77,7,Asia,128993876.42
Airbus A350,1995,2,Turbofan,350,14800,3.84,3838.65,30,South America,390905627.7
Cessna 172,1997,1,Piston,4,1285,16.01,4876.59,28,Australia,225375.16
Boeing 777,1997,2,Turbofan,396,15600,14.05,3199.81,28,Europe,373325260.37
Airbus A350,2022,2,Turbofan,350,14800,6.2,2770.25,3,Africa,622384388.33
Airbus A350,2022,2,Turbofan,350,14800,11.43,4895.9,3,Europe,850058903.12
Bombardier CRJ200,1997,2,Turbofan,50,3000,2.22,2603.49,28,South America,11907691.92
Boeing 737,1998,2,Turbofan,162,5700,10.13,2944.37,27,Asia,57535282.13
Cessna 172,2014,1,Piston,4,1285,34.42,1170.48,11,Australia,351455.25
Airbus A350,2018,2,Turbofan,350,14800,2.16,4382.33,7,Europe,618925534.6
Cessna 172,2021,1,Piston,4,1285,11.82,2497.66,4,Australia,442500.5
Cessna 172,2022,1,Piston,4,1285,35.24,610.09,3,Australia,418837.19
Boeing 777,2021,2,Turbofan,396,15600,12.81,1531.83,4,Europe,919482628.97
Cessna 172,2006,1,Piston,4,1285,14.74,3538.7,19,Africa,304927.37
Boeing 737,2005,2,Turbofan,162,5700,5.1,3615.08,20,South America,71207524.61
Airbus A320,1996,2,Turbofan,180,6300,3.9,2183.62,29,South America,75246240.2
Bombardier CRJ200,2001,2,Turbofan,50,3000,2.41,3712.15,24,North America,12164301.82
Cessna 172,1996,1,Piston,4,1285,47.66,4334.8,29,Europe,233452.0
Boeing 737,2010,2,Turbofan,162,5700,6.44,3869.4,15,South America,116715505.36
Cessna 172,2004,1,Piston,4,1285,46.1,4575.87,21,Asia,265533.51
Boeing 737,2000,2,Turbofan,162,5700,5.13,2049.18,25,Africa,69898092.02
Bombardier CRJ200,1999,2,Turbofan,50,3000,13.09,4133.79,26,Asia,14112622.04
Airbus A320,1999,2,Turbofan,180,6300,6.67,2491.82,26,Africa,98236060.18
Cessna 172,2015,1,Piston,4,1285,21.29,4567.97,10,Australia,362633.42
Boeing 737,1998,2,Turbofan,162,5700,3.35,4451.76,27,Asia,65880792.52
Airbus A350,2020,2,Turbofan,350,14800,7.44,4406.9,5,North America,662695144.46
Airbus A320,2007,2,Turbofan,180,6300,14.13,508.41,18,Africa,114669315.22
Cessna 172,2003,1,Piston,4,1285,23.02,2817.86,22,Africa,229038.63
Airbus A350,1998,2,Turbofan,350,14800,14.07,1771.88,27,Africa,373359764.37
Airbus A320,2018,2,Turbofan,180,6300,3.33,1663.23,7,Asia,153444573.1
Airbus A320,2015,2,Turbofan,180,6300,8.79,1204.59,10,Asia,129646558.33
Boeing 737,2020,2,Turbofan,162,5700,11.7,2548.25,5,Africa,118543797.92
Boeing 777,2019,2,Turbofan,396,15600,9.61,4512.63,6,Asia,670282588.14
Bombardier CRJ200,2004,2,Turbofan,50,3000,11.49,2733.07,21,Asia,17032896.08
Cessna 172,1998,1,Piston,4,1285,26.98,3774.46,27,Europe,230704.14
Airbus A320,2021,2,Turbofan,180,6300,10.35,3343.99,4,Europe,151686081.9
Boeing 737,2002,2,Turbofan,162,5700,3.5,4030.79,23,North America,77859239.75
Airbus A320,2001,2,Turbofan,180,6300,9.83,3109.07,24,Asia,89452892.88
Airbus A350,2018,2,Turbofan,350,14800,6.98,2382.8,7,Australia,618129922.1
Airbus A350,2022,2,Turbofan,350,14800,5.22,2742.56,3,Europe,644431965.56
Cessna 172,1996,1,Piston,4,1285,33.87,500.81,29,North America,207890.78
Airbus A320,2021,2,Turbofan,180,6300,13.15,3604.74,4,Africa,148820636.0
Bombardier CRJ200,1999,2,Turbofan,50,3000,2.95,1151.33,26,Asia,12085436.9
Boeing 777,1998,2,Turbofan,396,15600,8.96,1894.84,27,Africa,397130874.37
Airbus A350,2017,2,Turbofan,350,14800,5.47,4114.34,8,South America,689563261.25
Cessna 172,2019,1,Piston,4,1285,46.55,2370.28,6,North America,366525.77
Cessna 172,2013,1,Piston,4,1285,32.57,3398.72,12,North America,347078.39
Airbus A350,2004,2,Turbofan,350,14800,10.32,3587.18,21,South America,448693682.39
Boeing 777,2012,2,Turbofan,396,15600,14.31,1705.59,13,South America,565444114.7
Boeing 737,2003,2,Turbofan,162,5700,14.17,2366.54,22,Asia,68884272.35
Cessna 172,2020,1,Piston,4,1285,43.61,4627.13,5,Australia,423481.51
Bombardier CRJ200,2001,2,Turbofan,50,3000,13.55,1878.65,24,Africa,13606968.07
Airbus A350,2002,2,Turbofan,350,14800,13.12,4710.03,23,Australia,406985690.63
Boeing 777,2012,2,Turbofan,396,15600,2.43,3185.48,13,North America,528737172.17
Airbus A320,2004,2,Turbofan,180,6300,4.52,4092.93,21,Africa,93884113.97
Airbus A320,2021,2,Turbofan,180,6300,8.71,2752.86,4,North America,109671589.55
Airbus A350,2003,2,Turbofan,350,14800,8.71,1512.26,22,Asia,381345803.63
Boeing 777,2004,2,Turbofan,396,15600,13.25,4946.86,21,Asia,488467106.62
Bombardier CRJ200,1997,2,Turbofan,50,3000,7.15,2731.29,28,Asia,11430225.59
Cessna 172,2021,1,Piston,4,1285,34.21,1847.92,4,Africa,435621.33
Airbus A320,1996,2,Turbofan,180,6300,9.24,4532.75,29,Asia,67310888.97
Bombardier CRJ200,2012,2,Turbofan,50,3000,7.89,3800.03,13,Africa,22449722.47
Bombardier CRJ200,2006,2,Turbofan,50,3000,12.66,4898.71,19,Africa,16806761.2
Cessna 172,2018,1,Piston,4,1285,27.28,1765.45,7,Asia,401481.63
Bombardier CRJ200,1997,2,Turbofan,50,3000,8.01,3040.08,28,Asia,12464369.19
Boeing 777,2022,2,Turbofan,396,15600,6.62,2229.38,3,Europe,779026903.93
Airbus A320,2015,2,Turbofan,180,6300,9.82,2773.05,10,Europe,126655787.4
Boeing 777,2010,2,Turbofan,396,15600,13.31,3713.4,15,North America,571330962.71
Airbus A320,2013,2,Turbofan,180,6300,13.93,4856.03,12,Europe,126767491.5
Boeing 777,2018,2,Turbofan,396,15600,3.46,1069.61,7,South America,830071571.99
Cessna 172,1999,1,Piston,4,1285,15.46,2219.78,26,Asia,227651.86
Boeing 737,1997,2,Turbofan,162,5700,6.39,2797.5,28,Asia,71786036.55
Boeing 737,2015,2,Turbofan,162,5700,9.26,4485.24,10,North America,92311297.49
Airbus A350,2018,2,Turbofan,350,14800,10.58,3594.21,7,Asia,544964989.03
Airbus A320,2003,2,Turbofan,180,6300,6.1,2200.07,22,Asia,98781038.26
Boeing 777,2022,2,Turbofan,396,15600,14.06,4488.84,3,Asia,791574322.22
Bombardier CRJ200,2013,2,Turbofan,50,3000,12.84,2344.23,12,South America,18139110.85
Bombardier CRJ200,2022,2,Turbofan,50,3000,9.22,1575.34,3,North America,24685635.78
Airbus A350,2015,2,Turbofan,350,14800,13.35,4230.3,10,Asia,589462665.96
Cessna 172,2009,1,Piston,4,1285,47.82,1547.7,16,South America,298210.41
Boeing 737,1999,2,Turbofan,162,5700,12.56,2084.28,26,Asia,70461224.43
Cessna 172,1998,1,Piston,4,1285,36.33,1982.96,27,Australia,212979.31
Boeing 777,1995,2,Turbofan,396,15600,3.95,3149.02,30,North America,401405769.82
Boeing 737,2019,2,Turbofan,162,5700,11.04,1331.73,6,North America,116108222.99
Airbus A320,2012,2,Turbofan,180,6300,3.55,4841.13,13,Asia,105502544.39
Bombardier CRJ200,1996,2,Turbofan,50,3000,3.55,1497.03,29,North America,11471119.46
Airbus A350,2015,2,Turbofan,350,14800,11.7,3422.98,10,Africa,658845432.29
Airbus A350,1998,2,Turbofan,350,14800,6.16,1155.55,27,Australia,380581911.21
Bombardier CRJ200,2012,2,Turbofan,50,3000,12.7,1082.03,13,Australia,18088608.98
Cessna 172,2019,1,Piston,4,1285,49.6,995.13,6,Europe,438883.28
Boeing 737,2004,2,Turbofan,162,5700,14.77,3450.17,21,Europe,59327436.54
Boeing 777,2011,2,Turbofan,396,15600,14.79,1612.33,14,South America,581133164.06
Airbus A320,2009,2,Turbofan,180,6300,10.25,1676.22,16,South America,115531556.23
Bombardier CRJ200,2019,2,Turbofan,50,3000,6.07,3727.03,6,Australia,22823086.52
Bombardier CRJ200,2008,2,Turbofan,50,3000,5.52,1467.07,17,North America,14902326.29
Airbus A320,2005,2,Turbofan,180,6300,11.62,3296.03,20,South America,99033174.87
Boeing 777,2015,2,Turbofan,396,15600,3.98,1368.66,10,North America,604298393.36
Boeing 777,2011,2,Turbofan,396,15600,5.34,3694.99,14,North America,709110848.16
Cessna 172,2016,1,Piston,4,1285,45.87,1961.92,9,North America,434097.59
Cessna 172,2007,1,Piston,4,1285,36.12,1280.96,18,South America,280471.04
Boeing 777,2002,2,Turbofan,396,15600,4.92,1080.6,23,Europe,386815153.69
Cessna 172,2018,1,Piston,4,1285,22.08,2764.39,7,South America,397634.94
Boeing 777,2006,2,Turbofan,396,15600,5.11,2707.52,19,Africa,630342172.1
Boeing 777,2003,2,Turbofan,396,15600,6.26,580.92,22,Africa,458792374.62
Airbus A350,2022,2,Turbofan,350,14800,13.87,1093.34,3,South America,725476485.19
Boeing 737,1999,2,Turbofan,162,5700,10.58,4911.45,26,South America,62975710.57
Boeing 737,2012,2,Turbofan,162,5700,10.32,4994.77,13,North America,108915388.77
Airbus A320,2010,2,Turbofan,180,6300,11.74,2993.81,15,Australia,113326221.06
Airbus A350,2019,2,Turbofan,350,14800,2.5,3145.01,6,South America,599561374.25
Airbus A320,2020,2,Turbofan,180,6300,11.75,4350.63,5,South America,142807727.62
Airbus A350,1998,2,Turbofan,350,14800,8.36,3079.3,27,North America,365904921.58
Boeing 777,2009,2,Turbofan,396,15600,12.17,3385.53,16,Africa,476425548.58
Airbus A320,2000,2,Turbofan,180,6300,11.21,867.57,25,Asia,87958598.47
Cessna 172,1998,1,Piston,4,1285,31.57,1464.44,27,Australia,248300.0
Airbus A320,1995,2,Turbofan,180,6300,8.18,2762.17,30,Australia,70635147.69
Airbus A320,1996,2,Turbofan,180,6300,3.27,1323.02,29,Europe,77579492.67
Airbus A320,1999,2,Turbofan,180,6300,5.43,1591.15,26,South America,75258660.72
Boeing 737,2009,2,Turbofan,162,5700,5.97,1971.99,16,Australia,94846495.94
Airbus A320,1999,2,Turbofan,180,6300,11.28,1820.47,26,Asia,90072681.92
Bombardier CRJ200,2001,2,Turbofan,50,3000,9.63,2050.67,24,North America,13249619.11
Airbus A320,2005,2,Turbofan,180,6300,7.98,2931.29,20,South America,105186855.17
Boeing 737,2000,2,Turbofan,162,5700,2.79,4024.22,25,South America,77629207.84
Boeing 777,2000,2,Turbofan,396,15600,3.37,2624.65,25,Africa,457168790.55
Boeing 777,2017,2,Turbofan,396,15600,10.84,1601.62,8,Asia,687113664.29
Cessna 172,2004,1,Piston,4,1285,23.47,2354.96,21,Asia,251618.55
Airbus A320,1997,2,Turbofan,180,6300,2.86,3099.55,28,Europe,82385115.43
Boeing 777,2008,2,Turbofan,396,15600,4.24,1611.12,17,Asia,626226580.39
Boeing 777,2023,2,Turbofan,396,15600,7.03,4969.27,2,South America,736427384.03
Boeing 777,2002,2,Turbofan,396,15600,7.08,4732.29,23,Europe,447346881.64
Bombardier CRJ200,2014,2,Turbofan,50,3000,7.44,4839.78,11,Europe,21079903.02
Cessna 172,2004,1,Piston,4,1285,12.89,1098.11,21,Europe,228236.57
Boeing 737,1997,2,Turbofan,162,5700,7.52,4225.03,28,Asia,55107663.97
Airbus A320,2018,2,Turbofan,180,6300,6.78,776.41,7,Africa,142097709.83
Cessna 172,2018,1,Piston,4,1285,12.56,1019.45,7,Asia,384878.98
Airbus A350,1998,2,Turbofan,350,14800,10.91,639.45,27,Europe,387557183.97
Boeing 737,1999,2,Turbofan,162,5700,5.33,3908.15,26,Asia,57177987.93
Airbus A350,2009,2,Turbofan,350,14800,6.09,2874.74,16,South America,530137467.81
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.19,1650.66,30,South America,12775426.13
Airbus A320,2005,2,Turbofan,180,6300,9.43,938.48,20,Africa,77210250.14
Boeing 737,2005,2,Turbofan,162,5700,5.31,2599.47,20,Europe,84026750.05
Airbus A320,2002,2,Turbofan,180,6300,14.11,3848.5,23,Asia,89787796.62
Boeing 737,1999,2,Turbofan,162,5700,8.19,4781.69,26,South America,54742178.93
Boeing 737,2022,2,Turbofan,162,5700,5.97,4843.93,3,South America,113174428.18
Airbus A320,2021,2,Turbofan,180,6300,7.5,4907.51,4,Europe,142061965.0
Airbus A320,2003,2,Turbofan,180,6300,10.57,3816.35,22,South America,83660569.96
Airbus A320,2011,2,Turbofan,180,6300,2.96,4002.56,14,South America,127513450.62
Bombardier CRJ200,2017,2,Turbofan,50,3000,5.4,3551.33,8,Australia,22418961.14
Boeing 777,2007,2,Turbofan,396,15600,12.26,3134.03,18,Asia,522216139.09
Boeing 777,2004,2,Turbofan,396,15600,11.11,4018.25,21,Australia,469902358.24
Bombardier CRJ200,2023,2,Turbofan,50,3000,10.08,897.86,2,North America,25071584.34
Bombardier CRJ200,2011,2,Turbofan,50,3000,6.05,2800.0,14,Asia,19681727.7
Cessna 172,2003,1,Piston,4,1285,26.91,4491.94,22,North America,266332.36
Cessna 172,1999,1,Piston,4,1285,49.59,4173.02,26,Asia,233014.15
Bombardier CRJ200,2008,2,Turbofan,50,3000,2.44,3869.41,17,South America,16090329.51
Boeing 737,1998,2,Turbofan,162,5700,14.27,3868.59,27,North America,64568173.2
Airbus A350,2021,2,Turbofan,350,14800,9.4,3978.18,4,Australia,643422963.25
Airbus A350,2009,2,Turbofan,350,14800,7.27,1718.73,16,South America,551675116.57
Boeing 737,1998,2,Turbofan,162,5700,14.15,1545.94,27,North America,55895344.78
Airbus A350,1998,2,Turbofan,350,14800,5.55,3900.16,27,Africa,442196556.91
Bombardier CRJ200,1998,2,Turbofan,50,3000,3.86,1791.39,27,Europe,10866666.68
Boeing 737,2019,2,Turbofan,162,5700,11.43,3112.16,6,North America,112238274.11
Bombardier CRJ200,2008,2,Turbofan,50,3000,3.59,1717.36,17,Africa,16363211.55
Airbus A350,2006,2,Turbofan,350,14800,5.22,4054.04,19,Australia,415418253.11
Airbus A350,2001,2,Turbofan,350,14800,3.17,2945.79,24,Asia,362450810.79
Airbus A350,2021,2,Turbofan,350,14800,11.67,3926.06,4,Africa,645540430.09
Boeing 737,2021,2,Turbofan,162,5700,6.37,3620.54,4,North America,137515105.27
Airbus A350,2015,2,Turbofan,350,14800,5.17,3314.63,10,Asia,606019968.38
Airbus A350,2022,2,Turbofan,350,14800,10.04,2390.64,3,Asia,717278836.47
Bombardier CRJ200,2019,2,Turbofan,50,3000,12.53,4049.58,6,Asia,29671191.16
Boeing 737,2023,2,Turbofan,162,5700,6.08,812.18,2,Asia,139072133.15
Airbus A350,2010,2,Turbofan,350,14800,6.08,647.4,15,Australia,536339741.57
Cessna 172,2023,1,Piston,4,1285,18.86,3770.65,2,Africa,443442.71
Boeing 737,2004,2,Turbofan,162,5700,14.86,3271.79,21,Australia,76228267.29
Airbus A350,2020,2,Turbofan,350,14800,6.63,1106.01,5,Africa,750708538.37
Airbus A320,2001,2,Turbofan,180,6300,6.59,1648.83,24,Europe,84603696.28
Bombardier CRJ200,2011,2,Turbofan,50,3000,3.74,1299.24,14,Asia,16145520.46
Cessna 172,2002,1,Piston,4,1285,12.71,4534.51,23,South America,241856.37
Airbus A350,2020,2,Turbofan,350,14800,13.6,4172.07,5,South America,596651897.8
Bombardier CRJ200,1998,2,Turbofan,50,3000,11.13,3548.2,27,Australia,11018982.66
Cessna 172,2003,1,Piston,4,1285,43.22,4009.9,22,Africa,279643.39
Airbus A320,2011,2,Turbofan,180,6300,8.64,1107.08,14,Asia,105758874.9
Boeing 737,1998,2,Turbofan,162,5700,4.1,3257.99,27,Europe,69467777.25
Cessna 172,1999,1,Piston,4,1285,39.94,2893.61,26,Europe,217941.17
Bombardier CRJ200,1995,2,Turbofan,50,3000,13.46,2966.46,30,Africa,10762775.27
Boeing 777,1995,2,Turbofan,396,15600,8.74,2417.42,30,South America,407308490.32
Cessna 172,2016,1,Piston,4,1285,17.72,2687.86,9,Australia,348755.31
Airbus A320,1995,2,Turbofan,180,6300,9.08,3166.7,30,Australia,80258376.85
Airbus A320,1996,2,Turbofan,180,6300,4.6,3593.7,29,Africa,80662160.77
Boeing 777,2018,2,Turbofan,396,15600,5.18,2488.4,7,Australia,728749007.62
Bombardier CRJ200,2012,2,Turbofan,50,3000,5.25,2296.3,13,Africa,20564614.1
Airbus A350,2019,2,Turbofan,350,14800,10.58,829.98,6,Europe,769397503.26
Airbus A320,2010,2,Turbofan,180,6300,2.97,4687.59,15,South America,134391890.41
Bombardier CRJ200,1996,2,Turbofan,50,3000,4.94,3504.75,29,Asia,11370314.31
Airbus A350,2022,2,Turbofan,350,14800,12.2,1233.8,3,South America,737054179.31
Airbus A320,2023,2,Turbofan,180,6300,10.98,4680.94,2,Africa,163651306.51
Airbus A350,2001,2,Turbofan,350,14800,4.1,4589.98,24,South America,395906449.43
Boeing 737,2001,2,Turbofan,162,5700,8.73,623.43,24,Europe,74815172.97
Airbus A350,2005,2,Turbofan,350,14800,2.61,4392.71,20,North America,437728954.2
Airbus A320,2007,2,Turbofan,180,6300,6.07,3987.41,18,Africa,103978495.65
Airbus A320,2003,2,Turbofan,180,6300,8.91,1008.98,22,Asia,101939283.63
Airbus A320,2011,2,Turbofan,180,6300,3.71,636.28,14,Europe,107694722.84
Boeing 777,2000,2,Turbofan,396,15600,4.97,2747.63,25,North America,511282769.29
Airbus A320,1995,2,Turbofan,180,6300,13.59,4621.56,30,Africa,64039118.53
Boeing 777,2023,2,Turbofan,396,15600,5.35,3367.27,2,Africa,744086668.82
Boeing 777,2004,2,Turbofan,396,15600,2.08,4843.28,21,South America,523169268.11
Airbus A350,2006,2,Turbofan,350,14800,3.15,3063.97,19,North America,577191308.26
Cessna 172,2008,1,Piston,4,1285,41.42,3603.19,17,South America,263441.99
Boeing 777,2017,2,Turbofan,396,15600,5.27,3169.97,8,Africa,704836760.14
Cessna 172,1998,1,Piston,4,1285,35.49,4876.9,27,Australia,229644.76
Boeing 777,2006,2,Turbofan,396,15600,14.08,2951.6,19,Australia,457570718.39
Airbus A320,2000,2,Turbofan,180,6300,5.91,3762.99,25,Asia,89099398.22
Airbus A350,2017,2,Turbofan,350,14800,7.09,1725.76,8,Europe,755786388.02
Cessna 172,2006,1,Piston,4,1285,39.86,1660.34,19,North America,287200.73
Airbus A350,2014,2,Turbofan,350,14800,7.51,3052.27,11,North America,610206639.45
Boeing 737,2006,2,Turbofan,162,5700,13.55,1856.55,19,Europe,85661890.36
Airbus A350,2006,2,Turbofan,350,14800,8.32,4550.72,19,Australia,569793820.25
Airbus A320,2000,2,Turbofan,180,6300,14.56,2234.71,25,Australia,93172316.41
Boeing 737,2019,2,Turbofan,162,5700,3.37,1000.89,6,Africa,115603043.23
Bombardier CRJ200,1997,2,Turbofan,50,3000,9.58,2971.09,28,Europe,11023263.66
Boeing 737,1999,2,Turbofan,162,5700,4.1,3426.5,26,Africa,71582027.19
Bombardier CRJ200,2003,2,Turbofan,50,3000,9.61,3047.7,22,Asia,13281680.81
Boeing 777,2011,2,Turbofan,396,15600,9.49,3815.23,14,Africa,621363390.0
Cessna 172,2022,1,Piston,4,1285,29.4,3529.67,3,Australia,435881.37
Boeing 777,2011,2,Turbofan,396,15600,14.81,4955.49,14,Australia,576842209.69
Cessna 172,2009,1,Piston,4,1285,47.49,2282.66,16,Europe,310321.61
Boeing 777,2021,2,Turbofan,396,15600,5.32,2819.52,4,Asia,700973479.2
Airbus A320,2021,2,Turbofan,180,6300,5.87,3745.53,4,South America,130283812.99
Boeing 777,2008,2,Turbofan,396,15600,5.9,968.8,17,South America,532006312.32
Airbus A320,2008,2,Turbofan,180,6300,11.69,3286.08,17,Australia,100148512.38
Boeing 737,2016,2,Turbofan,162,5700,6.93,2829.45,9,Australia,124970375.81
Bombardier CRJ200,1997,2,Turbofan,50,3000,6.47,4088.5,28,North America,11179673.52
Boeing 737,2005,2,Turbofan,162,5700,4.78,2478.42,20,Africa,72665753.13
Airbus A350,2008,2,Turbofan,350,14800,13.49,3234.07,17,Asia,458555889.01
Airbus A320,2013,2,Turbofan,180,6300,3.38,2148.23,12,Africa,135696059.12
Bombardier CRJ200,2013,2,Turbofan,50,3000,14.08,563.77,12,North America,20104148.42
Cessna 172,1997,1,Piston,4,1285,47.51,4231.52,28,Europe,220682.57
Airbus A350,1996,2,Turbofan,350,14800,6.15,1413.85,29,South America,381748422.19
Airbus A350,2008,2,Turbofan,350,14800,12.08,736.29,17,Australia,542813793.82
Cessna 172,2004,1,Piston,4,1285,40.56,4570.98,21,Asia,274301.69
Cessna 172,2018,1,Piston,4,1285,14.14,4947.45,7,Africa,404533.62
Airbus A350,2020,2,Turbofan,350,14800,11.44,3112.91,5,Asia,779024286.47
Boeing 737,2001,2,Turbofan,162,5700,3.71,572.75,24,Australia,67494336.91
Bombardier CRJ200,1996,2,Turbofan,50,3000,11.37,1687.47,29,South America,14024837.96
Boeing 777,2007,2,Turbofan,396,15600,9.22,2689.41,18,South America,532506061.69
Boeing 777,2006,2,Turbofan,396,15600,4.86,1978.6,19,North America,580635606.48
Cessna 172,2003,1,Piston,4,1285,17.49,705.25,22,Asia,259747.21
Boeing 737,2021,2,Turbofan,162,5700,10.57,3173.3,4,Asia,106135384.74
Boeing 777,2005,2,Turbofan,396,15600,2.22,1921.72,20,Asia,479691230.37
Airbus A350,2002,2,Turbofan,350,14800,4.82,4615.62,23,South America,471396630.62
Bombardier CRJ200,2021,2,Turbofan,50,3000,2.89,4375.2,4,Asia,22033903.04
Cessna 172,2012,1,Piston,4,1285,22.94,938.55,13,South America,380022.28
Boeing 777,2020,2,Turbofan,396,15600,6.66,2270.38,5,Asia,782922590.07
Boeing 737,1998,2,Turbofan,162,5700,14.53,4574.43,27,Asia,68127419.76
Boeing 777,1995,2,Turbofan,396,15600,8.89,1850.23,30,Asia,355344418.99
Boeing 777,2005,2,Turbofan,396,15600,13.28,740.06,20,Africa,530103926.73
Cessna 172,2001,1,Piston,4,1285,32.83,2909.86,24,Asia,277097.65
Airbus A320,2013,2,Turbofan,180,6300,13.66,2612.66,12,Australia,134062655.64
Cessna 172,2021,1,Piston,4,1285,33.37,4438.21,4,Europe,358352.44
Airbus A350,1999,2,Turbofan,350,14800,9.55,3977.38,26,Africa,329401836.14
Boeing 777,2002,2,Turbofan,396,15600,10.27,2307.14,23,South America,442613439.39
Cessna 172,2020,1,Piston,4,1285,29.33,578.65,5,Asia,423657.92
Boeing 737,2005,2,Turbofan,162,5700,11.95,2755.46,20,South America,74770363.27
Boeing 777,2004,2,Turbofan,396,15600,5.26,4386.01,21,North America,539307017.73
Airbus A350,2015,2,Turbofan,350,14800,9.46,733.42,10,North America,576902802.06
Cessna 172,2013,1,Piston,4,1285,41.92,2123.78,12,Australia,399382.27
Cessna 172,2021,1,Piston,4,1285,12.79,1236.11,4,Australia,341366.96
Airbus A320,2010,2,Turbofan,180,6300,6.31,4459.8,15,Australia,125799441.11
Boeing 737,2007,2,Turbofan,162,5700,11.83,3684.97,18,Asia,83407839.11
Boeing 737,2003,2,Turbofan,162,5700,3.38,3569.02,22,South America,81509802.66
Airbus A350,2007,2,Turbofan,350,14800,10.89,2342.28,18,South America,475435985.18
Cessna 172,2016,1,Piston,4,1285,28.1,1596.17,9,Africa,328344.38
Airbus A350,2008,2,Turbofan,350,14800,13.4,3505.86,17,North America,577923624.8
Cessna 172,2013,1,Piston,4,1285,44.49,2806.47,12,Europe,330030.01
Boeing 737,2000,2,Turbofan,162,5700,5.63,4954.75,25,Asia,59519217.73
